Primary Key,Service,Term,Username,Name,Update,Location,URL,Friends,Followers,Time(PDT),City,State/Region,Country,Metro,Latitude,Longitude
1,twitter,lakers,_prettybrown,J Money,@SnkrFrsh_JETS you been dick ridin the lakers all day,"Everywhere, you never there.",,1042,1538,6/3/2010 17:00,,,,,,
2,twitter,lakers,CarlyManning24,ashli,RT @Doodlebug1229: @Ali_Sweeney My daughter got a laker jersey as a somewhat birthday present. She is soooo wearing it tonight./lakers wtf,"dayton, ohio",,278,304,6/3/2010 17:00,Dayton,OH,US,Dayton OH,39.846867,-84.11282
3,twitter,lakers,madzLuvzLakers,Madeline Lakers,i am! :) RT @GoingYardLA If you're a #Lakers fan then #teamfollowback,"LAKERLAND, Los Angeles",http://www.facebook.com/madzLuvzLakers?ref=profile,619,1039,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
4,twitter,"celtics,lakers",_AyyJayy,AyJay™. ---,Celtics RT @CHiGOAT Celtics or Lakers?,in your d r e a m s.,http://www.facebook.com/home.php?#!/profile.php?id=100000926596946&ref=profile,203,204,6/3/2010 17:00,,,,,,
5,twitter,lakers,Akeemoneale,Andwele A. O.  Boyce,Is rooting fot the Lakers and Ron Artez,Barbados,http://andweleboyce.wordpress.com,165,27,6/3/2010 17:00,,,,,,
6,twitter,"lakers,celtics",demetricel,Lisabeth Demetrice,Lakers Celtics tickets http://getticketsfast.info/1/nba/ just a few left #Celtics @LakersFanZone #Kobe,,,0,0,6/3/2010 17:00,,,,,,
7,twitter,lakers,MrKooman,Mr.Kooman ♬ Producer,"@JoonJukx LOL, ALL GOOD. Thank you sir, getting ready for the #LAKERS",LOS ANGELES,http://www.MrKooman.com,203,6001,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
8,twitter,lakers,bri_quebengco,Brian Quebengco,"Today, I will stop work and watch my Boston Beat the Lakers!!!","Makati, Philippines",http://www.inoventdesign.com,28,30,6/3/2010 17:00,,,,,,
9,twitter,lakers,Lboogs82,Lesley Erin,"Ditto Bitch!! #GoCeltics RT @SerSam85 I know I'm a Cali girl but I do not like the Lakers sorry, Go Boston!",Da I.E. Cali,http://null,212,253,6/3/2010 17:00,,,,,,
10,twitter,"celtics,lakers",orccs,orlando mujica,"@Samyro112 FINAL NBA: Boston Celtics vs. L.A. Lakers

8:30 PM sport plus",caracas,,32,13,6/3/2010 17:00,,,,,,
11,twitter,lakers,prettyiddy,laurence alexander,Let go lakers! Let's go lakers! Let go lakers!,,,33,38,6/3/2010 17:00,,,,,,
12,twitter,"lakers,celtics",N8_Anderson,Nate Anderson,Countdown to LAKERS/celtics! Game 1 in 60 minutes! Go Lakers!!!,"ÜT: 32.894981,-97.287499",,56,27,6/3/2010 17:00,Fort Worth,TX,US,Dallas-Fort Worth-Arlington TX,32.867288,-97.253519
13,twitter,lakers,2nd_Nature,RAMON MORGAN,@THEREALKNOTCH LOL! Lakers baby!! When tha movie goes down on Fig u not invited!! LOL,Los Angeles,http://www.myspace.com/2econdnature,151,80,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
14,twitter,lakers,Alixebaby,Alixe,RT @sasultana: I just sneezed 3x in a row.... That's a good luck sign... #Lakers are gonna win tonight» #teamlakers,"ÜT: 43.78839,-79.699356",,98,196,6/3/2010 17:00,,,,,,
15,twitter,lakers,MrBAAD,Tashaun Williams,@goodyCHOOshoes haha im sorry for you then... bu dont worry... u can unwind n relax to that lakers game once you get home,Miami,http://www.facebook.com/profile.php?id=514186015&ref=profile#!/profile.php?id=514186015&ref=ts,187,143,6/3/2010 17:00,Miami,FL,US,Miami-Fort Lauderdale-Pompano Beach FL,25.60441,-80.335216
16,twitter,"celtics,lakers",MplsGoddess,Alisa Stewart,Celtics!! RT @CHiGOAT: Celtics or Lakers?,"Minneapolis, MN",,119,228,6/3/2010 17:00,Minneapolis,MN,US,Minneapolis-St. Paul-Bloomington MN-WI,44.935513,-93.252926
17,twitter,lakers,Nana_Osei,NanaOsei Nkwantabisa,"After this game I'm gonna form a group on twitter called ""I hate LA Lakers""","ÜT: 5.64056,-0.230159",,72,121,6/3/2010 17:00,,,,,,
18,twitter,lakers,kristiblack09,Kristi Jones,"@beauknows, what channel does the lakers game come on tonight?? i cant find it anywhere. :|",Missouri,,219,54,6/3/2010 17:00,,MO,US,,,
19,twitter,lakers,iam_KEYZIE,Shaun  Marquel,RT @relleduhhh: RT @TiaMowry: Goooooood lakers!!!!!!!!,STRAFF WOODS 804,,926,426,6/3/2010 17:00,,,,,,
20,twitter,lakers,CarlsJr,Carl's Jr.,@Lakers ... It's go time.,"ÜT: 34.277056,-119.174956",http://www.carlsjr.com,13170,12342,6/3/2010 17:00,Ventura,CA,US,Oxnard-Thousand Oaks-Ventura CA,34.279272,-119.162998
21,twitter,lakers,parkkv,kelvin lim,"Ak jg bnyk,antara laen: lakers mng ga yh? :pRT @littlephankova: Hahh, can't sleep anymore since there are lot of things spinning in my head.","ÜT: 3.589647,98.662967",,75,99,6/3/2010 17:00,,,,,,
22,twitter,lakers,Boomquiesha_J,J.R. Atkins,"@Power106LA: Hey Boston! The 80's Called & They Want Their Chant Back! It's NO Longer ""Beat LA"" It's ""BE L.A."" :) #LAKERS (via @so_luvable)","Corona, california",http://Mynameisboomquiesha.blogspot.com,374,169,6/3/2010 17:00,Corona,CA,US,Riverside-San Bernardino-Ontario CA,33.831002,-117.613884
23,twitter,"lakers,celtics",boujeebit,0,"ok ok ..i dnt fcuk wit dha #LAKERS so im screaming ""GOOOO #CELTICS""",0,http://WWW.twitter.com/rudeboysviXXXen,153,215,6/3/2010 17:00,,,,,,
24,twitter,lakers,Bamadeb1971,Debbie Collins,@Ali_Sweeney Gooooooo Lakers!!!!!,North Alabama,,118,27,6/3/2010 17:00,,AL,US,,,
25,twitter,"lakers,celtics",itsRinaaa,Sarina ,can't wait till this #lakers game tonite !!! Celtics funna get their ass beat !,Sunshine state ; 727! ,http://www.myspace.com/sarina_is_da_bomb,449,276,6/3/2010 17:00,,,,,,
26,twitter,lakers,rjaeflores,rjaeflores,@sixfootKING shake. Lakers. $10 now.,"ÜT: 37.780197,-122.273588",http://null,144,98,6/3/2010 17:00,Alameda,CA,US,San Francisco-Oakland-Fremont CA,37.773545,-122.278487
27,twitter,lakers,ayitsCATCHY,Catherine Forbes ,Still showing my support by wearing my Lakers 2009 Champions shirt :),West Covina,,85,60,6/3/2010 17:00,West Covina,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.070095,-117.941934
28,twitter,lakers,Apiffany,Piff.,RT @Andi122: I Love my Lakers¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤øLets Go Lakers ¸„ø¤º°¨¨°º¤,"Lakers Nation, XOXO",,143,154,6/3/2010 17:00,,,,,,
29,twitter,lakers,angelovalenteam,angelo valentin,RT @Chenton_DEM: Hable Con #WalterMercado Y Le Hecho Los Caracoles A Lakers & Boston Dijo Q Boston Va A Patiallleeee El Bucheeee,"ÜT: 17.995285,-66.047559",http://www.myspace.com/angelovalenteam,44,55,6/3/2010 17:00,Arroyo,PR,US,Guayama PR,17.987052,-66.058249
30,twitter,lakers,YoungCharmCity,Eric Fultze,RT @13reeze: RT @YoungCharmCity @ChloeCasssh Lakers goin lossseeeeeeeeee,Maryland,http://Facebook.com/ChurchBoy31,682,1423,6/3/2010 17:00,,MD,US,,,
31,twitter,lakers,AngryManSchteve,Rampage M,"@kerryrhodes they dont have enough offense, lakers gonna shut them down tonight, #guaranteeIt",,,130,42,6/3/2010 17:00,,,,,,
32,twitter,lakers,mzrea21,Asiarea Pattman,RT @therealjuicyj TONITES GAME: WHOS GONE WIN IT????&gt;hopefully not da damn lakers #ugh,"Memphis, TN",,48,44,6/3/2010 17:00,Memphis,TN,US,Memphis TN-MS-AR,35.053833,-90.172764
33,twitter,"lakers,celtics",LELE_MOB,Lele Bo$$,RT @CHiGOAT Celtics or Lakers?&gt;&gt;&gt;MY AVATAR SAYS IT ALL,"ÜT: 40.108426,-88.223252",http://null,269,367,6/3/2010 17:00,Urbana,IL,US,Champaign-Urbana IL,40.109312,-88.211906
34,twitter,lakers,chonizzle,chona parcon,@kathrinapaual ABC follow @Lakers kc para malaman mo details hehehe,san jose california,http://http://www.facebook.com/?ref=home#!/profile.php?id=506234142&ref=profile,85,39,6/3/2010 17:00,,CA,US,,,
35,twitter,"lakers,celtics",ShopGrapevine,Grapevine Mills,Game 1 of the NBA Finals tonight @ 8:00 PM CST?  Who do you want to win?  Celtics or Lakers?,"Grapevine, TX",http://www.grapevinemills.com,1,1,6/3/2010 17:00,Grapevine,TX,US,Dallas-Fort Worth-Arlington TX,32.93529,-97.068689
36,twitter,lakers,MsZJaI,Jai,RT @BrishRenee: @MsZJaI shut it up! « I'm gon paint ya room purple and yellow for Lakers! Lol,Somewhere Productive,http://null,339,320,6/3/2010 17:00,,,,,,
37,twitter,"lakers,celtics",WAD1980,Will D.,@AaronRodgers12 u sticking with the #Celtics or are you gonna follow ever other athletes lead and root for the #Lakers?,"Boston, MA",http://accordingtowill.blogspot.com/,417,582,6/3/2010 17:00,Boston,MA,US,Boston-Cambridge-Quincy MA-NH,42.28491,-71.069753
38,twitter,lakers,timimika,Timica Aguilar,"""Gooooooo Lakers!!!!"" RT @Ali_Sweeney: Say it with me ""Gooooooo Lakers!!!!""",Wonderland!!!!,http://null,140,33,6/3/2010 17:00,,,,,,
39,twitter,lakers,Mike_FBG,Michael Bates,@bad_news_trues dont root for the Lakers nigga. U better stick to Jordan and whoever else lol. we dnt need ur kind lol,"Hampton, VA",http://www.facebook.com/TheHumanHighlightFilm,284,332,6/3/2010 17:00,Hampton,VA,US,Virginia Beach-Norfolk-Newport News VA-NC,37.062782,-76.40522
40,twitter,lakers,BigNasty1983,tyrone monroe,RT @suckmyknowledge: #RetweetThisIf Ur a lakers fan,brooklyn we go hard,,329,259,6/3/2010 17:00,,,,,,
41,twitter,lakers,TIMARUBY,Tima ,Lakers time.,Out looking for Waldo,,154,146,6/3/2010 17:00,,,,,,
42,twitter,lakers,Magic20099,Mike Hanley,"@kerryrhodes Yeah, especially if the Lakers are able to establish Gasol, Bynum down low or if rondo has a bad couple of games.","Wildwood Crest, NJ",,287,238,6/3/2010 17:00,Wildwood,NJ,US,Ocean City NJ,38.985715,-74.829413
43,twitter,lakers,dipsetxmas,Alex Kresovich,"RT @rockijosh Jeter for MVP! Him and Rollins, my 2 super fav players should definitely win! Go Lakers!!!!!",,,29,27,6/3/2010 17:00,,,,,,
44,twitter,"lakers,celtics",JosephPT,Joseph ,Only about an hour until the Celtics start workin the Lakers. Hope everyone's in front of a big screen somewhere,SC/803 to NC/828,http://Guess,260,376,6/3/2010 17:00,,,,,,
45,twitter,lakers,alaskan_bigfun,Jeremy Scott,i hope the #Lakers Lose!!! EFF kobe!!!,"ÜT: 61.214493,-149.886722",http://www.youtube.com/user/bigfun7997,390,148,6/3/2010 17:00,Anchorage,AK,US,Anchorage AK,61.214414,-149.88525
46,twitter,lakers,DjWiky,djwiky,soutient les lakers http://bit.ly/dpt7AZ,"Paris, France",http://soundcloud.com/dj-wiky,258,136,6/3/2010 17:00,,,,,,
47,twitter,lakers,angelldessa,Angell Dessa,Game 1 starts 2 nite La Lakers #1,Anguilla,,10,3,6/3/2010 17:00,,,,,,
48,twitter,"lakers,celtics",Gringoflash,Gringoflash,"@sportsguy33-tell Heisler you had Celts-LA all along. Last June you vowed it'd be Lakers/Celtics with a healthy KG + LA ""is a juggernaut""",,,29,42,6/3/2010 17:00,,,,,,
49,twitter,lakers,ChynaBabi,TaWanda Thompson,BOSTON AND MY BABY RONDO FINNA GET IN THE LAKERS ASS!!!!!!!!!!!!!!!!!,Im Every Where Like 4G,,305,178,6/3/2010 17:00,,,,,,
50,twitter,"lakers,celtics",VannaKadaver,Savannah Raskin,me and Cody are watching the game tonight. he wants Lakers to win. ew. Celtics better win,"Santa Clarita, California",,32,41,6/3/2010 17:00,Canyon Country,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.433792,-118.462336
51,twitter,lakers,GobbiGustavo,Gustavo Gobbi,RT @tiffbizzle: Game 1 comin up. Let's go Lakers!!!,Maceió,http://justjustinb.com,231,1218,6/3/2010 17:00,,,,,,
52,twitter,lakers,ChanceShay,Chancelor R. Shay,Gym then pint night for the #Finals. Any predictions other than the Lakers win?,"San Diego, CA",,96,72,6/3/2010 17:00,San Diego,CA,US,San Diego-Carlsbad-San Marcos CA,32.911042,-117.144792
53,twitter,lakers,BrownNLuscious,Ursula Singleton,Hello Twit Fam how's everyone doing tonight just stop by to show sum love!!! :) Oh Yeah Let's GOOOOOOO Lakers...Do ur thang purple & Gold :), WORLD WIDE!!! ,,98,44,6/3/2010 17:00,,,,,,
54,twitter,"lakers,celtics",MIRTHRANDIR,J.Ainion,"Right night to watch TV, Larry King interviews Pres.Obama, Boston Celtics vs.    L A Lakers, Finals; oh ,it is on!...",P.R.U.S.A.,,36,10,6/3/2010 17:00,,,,,,
55,twitter,"lakers,celtics",DJAvi8,Av8,@RapperBigPooh celtics or lakers,Wisconsin and Minnesota,,180,28,6/3/2010 17:00,,MN,US,,,
56,twitter,lakers,Carolinezunii,Caroline Zuniga,LAKERS! :),tmec :),,46,10,6/3/2010 17:00,,,,,,
57,twitter,lakers,Mexicanballer24,Jon Garnica,RT:@JaredDestine: here we go lakers lets get some damn revenge,,,35,41,6/3/2010 17:00,,,,,,
58,twitter,"lakers,celtics",Wiz_tima,Fatima Thomaz,RT @ESPNBOI #Question Lakers or Celtics??? &lt;&lt; LAKERSSSSSSSSSS !,maryland .,http://facebook.com/wiz.tima,296,300,6/3/2010 17:00,,MD,US,,,
59,twitter,lakers,TeejayPeezy,Teejay Patrick,Everyone boo this woman RT @SweetNessa_J: Lakers gonna dominate the #NBAFINALS,"SanDiego, California",http://www.facebook.com/people/Teejay-Patrick/100000667803483,614,762,6/3/2010 17:00,,,,,,
60,twitter,lakers,PlaysOfTheWeek,Plays Of The Week,@isaac_luna82 Lakers,Mexico City,http://www.aficionados.mx,2440,2242,6/3/2010 17:00,,,,,,
61,twitter,"lakers,celtics",mchl30,Michelle Albert,Game 1 tonight..Lakers vs Celtics...GO LAKERS!!!,California,,11,7,6/3/2010 17:00,,CA,US,,,
62,twitter,lakers,robby305,Its kinda of obvious,#LAKERS ARE GOING HOME WITH THE CHIP,"ÜT: 25.925645,-80.208353",http://www.facebook.com/RobertTheGreat305,1049,1123,6/3/2010 17:00,Miami,FL,US,Miami-Fort Lauderdale-Pompano Beach FL,25.942758,-80.214916
63,twitter,lakers,FX_Rivera,Francisco X. Rivera,La foto del recuerdo en el palco de Staples antes de empezar las finales de la NBA con mi companero de transmision @rvaldivieso #lakers,"Los Angeles, CA",http://www.fxrivera.com,265,326,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,34.009842,-118.258642
64,twitter,lakers,ayoANNAROSE,AnnaRose Duterte,@Lakers BABBBYYYY!! RT @Deeannaww: Laker Nation B**tches.,"Eywa, Pandora (;",http://facebook.com/AnnaRoseDuterte,145,113,6/3/2010 17:00,,,,,,
65,twitter,lakers,Bswagg88,Branden Thornton,#Lakers jaaaaammmmm,"Jackson, MS",,85,108,6/3/2010 17:00,Jackson,MS,US,Jackson MS,32.237452,-90.265944
66,twitter,lakers,kimmyboo101,Kimberly Taylor,ok im out for now twitfam goin to go get ready to watch tha game..Lets Go LAKERS Lets Go....,Tha DMV (DC...MD...VA..),,1111,826,6/3/2010 17:00,,,,,,
67,twitter,"lakers,celtics",HoneyHoward,Jasmine Howard,bout to cook dinner&&split this wig before the game comes on. #Celtics ALL DAY..fugg the lakers!,"Washington, D.C. ",http://www.facebook.com/home.php#/profile.php?id=1707568551&ref=name,349,1155,6/3/2010 17:00,Washington,DC,US,Washington-Arlington-Alexandria DC-VA-MD-WV,38.950224,-77.019714
68,twitter,lakers,ImDaSheik,DaSh*t or  DaSheik,"#Prediction.... if the Lakers win the first game they sweeping... if they lose, they winning in 5... and Kobe will hit #50 at some point #FB",In Ur Timeline,http://www.facebook.com/home.php?#/profile.php?id=38403445&ref=name,331,382,6/3/2010 17:00,,,,,,
69,twitter,lakers,iKanDance,kandace elena.,@Jay_cudi mayne #FOH. #LAKERS all day!,Louisiana,,146,233,6/3/2010 17:00,,LA,US,,,
70,twitter,lakers,Miracles4ring14,Terri G,RT @MAS_is_more: GOOO #LAKERS!!!!,SunnySoCalifornia,http://ring14.net,914,788,6/3/2010 17:00,,CA,US,,,
71,twitter,lakers,HajjMustafa,Arrington Segu,RT @IsisPaperzZ: LAKERS WAVE.¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø¸„ø¤º°¨¨°º¤ø ¸„ø¤º°¨¨°º¤ø KEEP THE WAVE GOING ¸„ø¤º°¨¨°º¤LE ...,"iPhone: 25.871841,-80.227173",,233,224,6/3/2010 17:00,Miami,FL,US,Miami-Fort Lauderdale-Pompano Beach FL,25.851486,-80.237422
72,twitter,"lakers,celtics",almaherself,Alma Sánchez,"Uh oh, when the Lakers lose, their faker-fans aren't gonna like them anymore. #celtics #goCeltics",Arizona,http://www.facebook.com/almaherself,475,642,6/3/2010 17:00,,AZ,US,,,
73,twitter,lakers,cm3lo,CAROLYN A.,#Lakers let's go!!!,M3lo's WORLD.,http://massm3lo.com,359,184,6/3/2010 17:00,,,,,,
74,twitter,lakers,Yuuup_ImAlexx,Alexandria Butler,RT @suckmyknowledge: #RetweetThisIf Ur a lakers fan,,http://null,635,419,6/3/2010 17:00,,,,,,
75,twitter,lakers,TheOneBMiller,Brandon Miller,@SketchesofFumi And since we didn't talk earlier today. LAKERS WOOO !!!! *Lifts Shirt Up*,,,163,114,6/3/2010 17:00,,,,,,
76,twitter,"lakers,celtics",nellsterr,janelle francisco,Yay so many good things on tv! Then the LAKERS VS CELTICS!!!! AHHH let's gooo KOBE!!,"ÜT: 41.155499,-73.96804",,142,40,6/3/2010 17:00,New City,NY,US,New York-Northern New Jersey-Long Island NY-NJ-PA,41.155532,-73.990751
77,twitter,lakers,jessclassy,Jess,RT @Flygolfstar: RT @Kasino_Marxs: LADIES & GENTLEMEN #RETWEETIF You're A FULL TIME @Lakers Fan. #LAKESHOW,,,101,78,6/3/2010 17:00,,,,,,
78,twitter,lakers,jfort88,Justin Fort,Im tired of hearing people hate on the Lakers. get a life you losers...that includes you too MOM.  #yeaisaidit,P.Pines/Miami,http://www.facebook.com/#!/profile.php?ref=profile&id=5254679,132,59,6/3/2010 17:00,,,,,,
79,twitter,lakers,MissRo41,Robin ,RT @actorbrianwhite: ROLL CALL. RE-TWEET This if ur rolling with #Lakers. Wanna know who who's got who. Holla! RT,Cali,http://myspace.com/robinsworld,232,114,6/3/2010 17:00,,,,,,
80,twitter,lakers,EmaYorkOfficial,Ema York,RT @LilDip_DreamBoi: ReTweet if you are a Lakers Fan,Belgium[Europe],http://twitpic.com/photos/EmaYorkOfficial,3068,7609,6/3/2010 17:00,,,,,,
81,twitter,lakers,kaylawalshxo,Kayla Walsh,boston pizza to watch game 1 ... GO @LAKERS!! #kobe #kobe #kobe,"ÜT: 46.116581,-60.258",,63,73,6/3/2010 17:00,,,,,,
82,twitter,lakers,golden1ne,golden,RT#ulreadyknow  @PRicanCutie08: RT @Rell2Nice: #Lakers Fans Get Y'all Excuses Ready 4 2nite,"scream585, 404atl",http://www.twitter.com/golden1ne,186,161,6/3/2010 17:00,,,,,,
83,twitter,"celtics,lakers",Days_World,Dayon Jenkins,@Mauree_Nicole noooooo.. It's actually not called hating if I don't like the Lakers.. I just happen to want the celtics to win so FUCK YOU.!,Day's World.,,74,91,6/3/2010 17:00,,,,,,
84,twitter,lakers,ERICDMARTINEZ,ERIC DANIEL MARTINEZ,RT if you think Gasol will be too much for Garnett this time around!!!! #Lakers,"California, USA",http://www.myspace.com/ericdmartinezx,1984,1534,6/3/2010 17:00,Los Angeles,CA,US,Los Angeles-Long Beach-Santa Ana CA,33.973593,-118.247897
85,twitter,lakers,Est_June3rd,Chuck K,hmmm im seein alot of new lakers fans on ma timeline or maybe i wasnt payin good enough attention,"Pontiac,MI",http://www.facebook.com/profile.php?id=1060743307&ref=profile,1397,1606,6/3/2010 17:00,Pontiac,MI,US,Detroit-Warren-Livonia MI,42.668599,-83.290343
86,twitter,lakers,iAmPhilisea_,Philisea M.,#TeamLakers be qoinq wild! i use to liked the #Lakers until they traded Shaq!,Dirty South!,http://www.myspace.com/babiimiinaj,1016,707,6/3/2010 17:00,,,,,,
87,twitter,lakers,blue1914,Vern Culton,"I'm on the record, Lakers in 7",Hell,http://myspace.com/freezeakavictornuman,186,61,6/3/2010 17:00,,,,,,
88,twitter,lakers,DireWolf11,Sam Baldwin,"haha RT @timothypmurphy: Lakers have made it this far with Goya's ""Saturn"" starting at center http://bit.ly/aE5a4j & http://bit.ly/cI5d41",Bay Area,http://motherjones.com,188,462,6/3/2010 17:00,San Francisco,CA,US,San Francisco-Oakland-Fremont CA,37.748676,-122.415813
89,twitter,lakers,steviebthetruth,Stevie B ,U KNO WHAT IM WATCHIN TONIGHT NBA Finals GO LAKERS GO LAKERS STOP HATEIN, FLORIDA/California,http://www.facebook.com/#!/profile.php?id=702012065,10525,14221,6/3/2010 17:00,,FL,US,,,
90,twitter,lakers,MalditoVillaLPF,Maldito Villa,@mzPiNKii #Lakers !!,"Oregon , United States",http://www.santotzin.com,61,31,6/3/2010 17:00,Antelope,OR,US,City of The Dalles OR,44.922938,-120.731174
91,twitter,"celtics,lakers",ISUWBBSUPERFAN,Russ Richardson,i'm looking forward to lakers/celtics tonight game 1.,"Urbandale, IA",,8,7,6/3/2010 17:00,Urbandale,IA,US,Des Moines-West Des Moines IA,41.632963,-93.737316
92,twitter,lakers,MR_GIHUL757,J One,RT @KlassyKitten: #LAKERS,where its always 1 O'clock,http://www.gihul-entertainment.com,225,225,6/3/2010 17:00,,,,,,
93,twitter,lakers,POLY3ST3R,POLY3ST3R,@B0NiiTA it's becuz I said today my last tweet would be lakers,ER WER,http://www.myspace.com/polyesterthesaint,373,626,6/3/2010 17:00,,,,,,
94,twitter,lakers,da_problem22,Terrell,@moneymagik1 wasssup nigga u trying to put that money up lakers n boston,"ÜT: 39.981022,-75.131021",http://null,264,167,6/3/2010 17:00,Philadelphia,PA,US,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,39.976408,-75.12217
95,twitter,lakers,DJEver,DJ Ever,LET'S GO LAKERS!  Hopefully we'll be celebrating a game 1 victory at Sage in Whittier later tonight.,"Anaheim, CA",http://www.facebook.com/deejayever,118,5104,6/3/2010 17:00,Anaheim,CA,US,Los Angeles-Long Beach-Santa Ana CA,33.810422,-117.97942
96,twitter,lakers,debbiecarwana,Debbie Carwana,"#NBA finals. With the #Suns out, going to have to root for #Lakers; really don't like Boston - sorry.","Toronto (well, just north)",,34,20,6/3/2010 17:00,,,,,,
97,twitter,lakers,frankratchford,Frank,Almost time for them LAKERS to hit center stage!!#BENTLEYS GREENSBORO is where everyone's going to watch the game tonight! @BDaht @Younggee,Triad,http://www.fab5entertainment.com,109,339,6/3/2010 17:00,,,,,,
